Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorkedGroup,AttrionLikelihood,RiskLevel
33,No,Non-Travel,1038,Sales,8,Below College,Life Sciences,Medium,Female,Entry Level,Sales Representative,Very High,Single,2342,No,Very High,Low,3,2,Medium,2,2,2,2,,0.148757183,Weak
45,No,Travel_Rarely,1234,Sales,11,College,Life Sciences,Very High,Female,Senior Level,Manager,Very High,Married,17650,No,Medium,Medium,26,4,Very High,9,3,1,1,2-3 companies,0.002017068,Weak
32,No,Non-Travel,1109,Research & Development,29,Master,Medical,Very High,Female,Entry Level,Laboratory Technician,High,Single,4025,No,Medium,Low,10,2,High,8,7,7,7,5+ companies,0.099085859,Weak
34,No,Travel_Rarely,216,Sales,1,Master,Marketing,Medium,Male,Junior Level,Sales Executive,Very High,Divorced,9725,No,Very High,Medium,16,2,Medium,15,1,0,9,,0.010978952,Weak
59,No,Travel_Rarely,1089,Sales,1,College,Technical Degree,Medium,Male,Mid Level,Manager,Very High,Married,11904,Yes,High,Medium,14,1,Low,6,4,0,4,2-3 companies,0.012992459,Weak
45,No,Travel_Rarely,788,Human Resources,24,Master,Medical,Medium,Male,Entry Level,Human Resources,Medium,Single,2177,No,Low,Low,6,3,High,6,3,0,4,0-1 Companies,0.242028048,Weak
53,No,Travel_Frequently,124,Sales,2,Bachelor,Marketing,High,Female,Mid Level,Sales Executive,Medium,Married,7525,No,Low,Medium,30,2,High,15,7,6,12,2-3 companies,0.092452593,Weak
36,Yes,Travel_Rarely,660,Research & Development,15,Bachelor,Other,Low,Male,Junior Level,Laboratory Technician,High,Divorced,4834,No,Medium,Medium,9,3,Medium,1,0,0,0,5+ companies,0.166369353,Weak
26,Yes,Travel_Frequently,342,Research & Development,2,Bachelor,Life Sciences,Low,Male,Entry Level,Research Scientist,Low,Married,2042,Yes,Medium,Medium,6,2,High,3,2,1,2,5+ companies,0.631558474,Strong
34,No,Travel_Rarely,1333,Sales,10,Master,Life Sciences,High,Female,Entry Level,Sales Representative,High,Married,2220,Yes,Very High,Medium,1,2,High,1,1,0,0,0-1 Companies,0.365340649,Medium
28,No,Travel_Rarely,1144,Sales,10,Below College,Medical,Very High,Male,Entry Level,Sales Representative,Medium,Married,1052,No,Medium,Low,1,5,High,1,0,0,0,0-1 Companies,0.329269918,Medium
38,No,Travel_Frequently,1186,Research & Development,3,Master,Other,High,Male,Entry Level,Research Scientist,High,Married,2821,No,Low,Medium,8,2,High,2,2,2,2,2-3 companies,0.011045381,Weak
50,No,Travel_Rarely,1464,Research & Development,2,Master,Medical,Medium,Male,Executive Level,Research Director,High,Married,19237,Yes,Very High,Medium,29,2,Medium,8,1,7,7,2-3 companies,1.76E-05,Weak
37,No,Travel_Rarely,124,Research & Development,3,Bachelor,Other,Very High,Female,Junior Level,Healthcare Representative,Medium,Single,4107,No,Low,Low,8,3,Medium,4,3,0,1,2-3 companies,0.06628795,Weak
40,No,Travel_Rarely,300,Sales,26,Bachelor,Marketing,High,Male,Junior Level,Sales Executive,Low,Married,8396,No,Medium,Medium,8,3,Medium,7,7,7,5,0-1 Companies,0.095137974,Weak
26,No,Travel_Frequently,921,Research & Development,1,Below College,Medical,Low,Female,Entry Level,Research Scientist,High,Divorced,2007,No,High,High,5,5,High,5,3,1,3,0-1 Companies,0.011020829,Weak
46,No,Travel_Rarely,430,Research & Development,1,Master,Medical,Very High,Male,Executive Level,Research Director,Very High,Divorced,19627,No,Very High,High,23,0,High,2,2,2,2,5+ companies,2.22E-07,Weak
54,No,Travel_Rarely,1082,Sales,2,Master,Life Sciences,High,Female,Mid Level,Sales Executive,High,Married,10686,No,Medium,Medium,13,4,High,9,4,7,0,5+ companies,0.009506825,Weak
56,No,Travel_Frequently,1240,Research & Development,9,Bachelor,Medical,Low,Female,Entry Level,Research Scientist,High,Married,2942,No,Medium,Medium,18,4,High,5,4,0,3,2-3 companies,0.01043323,Weak
36,No,Travel_Rarely,796,Research & Development,12,Doctor,Medical,Very High,Female,Mid Level,Manufacturing Director,Very High,Single,8858,No,Medium,Low,15,2,Medium,14,8,7,8,,0.014033771,Weak
55,No,Non-Travel,444,Research & Development,2,Below College,Medical,High,Male,Senior Level,Manager,Low,Single,16756,No,Medium,Low,31,3,Very High,9,7,6,2,5+ companies,0.006776127,Weak
43,No,Travel_Rarely,415,Sales,25,Bachelor,Medical,High,Male,Mid Level,Sales Executive,Very High,Divorced,10798,No,High,Medium,18,5,High,1,0,0,0,4-5 companies,0.024752473,Weak
20,Yes,Travel_Frequently,769,Sales,9,Bachelor,Marketing,Very High,Female,Entry Level,Sales Representative,Very High,Single,2323,Yes,Medium,Low,2,3,High,2,2,0,2,0-1 Companies,0.832095066,Strong
21,Yes,Travel_Rarely,1334,Research & Development,10,Bachelor,Life Sciences,High,Female,Entry Level,Laboratory Technician,Low,Single,1416,No,Low,Low,1,6,Medium,1,0,1,0,0-1 Companies,0.708837898,Strong
46,No,Travel_Rarely,1003,Research & Development,8,Master,Life Sciences,Very High,Female,Junior Level,Research Scientist,Low,Divorced,4615,Yes,Low,Very High,19,2,High,16,13,1,7,5+ companies,0.017691584,Weak
51,Yes,Travel_Rarely,1323,Research & Development,4,Master,Life Sciences,Low,Male,Entry Level,Research Scientist,High,Married,2461,Yes,High,Very High,18,2,Very High,10,0,2,7,5+ companies,0.451264929,Strong
28,Yes,Non-Travel,1366,Research & Development,24,College,Technical Degree,Medium,Male,Mid Level,Healthcare Representative,Low,Single,8722,No,Low,Low,10,2,Medium,10,7,1,9,0-1 Companies,0.598611018,Strong
26,No,Travel_Rarely,192,Research & Development,1,College,Medical,Low,Male,Entry Level,Laboratory Technician,Low,Married,3955,No,Low,High,6,2,High,5,3,1,3,0-1 Companies,0.265302163,Weak
30,No,Travel_Rarely,1176,Research & Development,20,Bachelor,Other,High,Male,Junior Level,Manufacturing Director,Low,Married,9957,No,High,Medium,7,1,Medium,6,2,0,2,,0.007842592,Weak
41,No,Travel_Rarely,509,Research & Development,7,College,Technical Degree,Medium,Female,Entry Level,Research Scientist,High,Married,3376,No,High,Low,10,3,High,10,6,0,8,0-1 Companies,0.023108332,Weak
38,No,Travel_Rarely,330,Research & Development,17,Below College,Life Sciences,High,Female,Mid Level,Healthcare Representative,High,Married,8823,No,Low,Medium,20,4,Medium,19,9,1,9,,0.047026702,Weak
40,No,Travel_Rarely,1492,Research & Development,20,Master,Technical Degree,Low,Male,Mid Level,Healthcare Representative,Very High,Married,10322,No,Very High,Medium,14,6,High,11,10,11,1,4-5 companies,0.006454128,Weak
27,No,Non-Travel,1277,Research & Development,8,Doctor,Life Sciences,Low,Male,Entry Level,Laboratory Technician,High,Married,4621,No,Very High,Very High,3,4,High,3,2,1,2,0-1 Companies,0.097228592,Weak
55,No,Travel_Frequently,1091,Research & Development,2,Below College,Life Sciences,Very High,Male,Mid Level,Manufacturing Director,Medium,Married,10976,No,Medium,Medium,23,4,High,3,2,1,2,2-3 companies,0.002711419,Weak
28,No,Travel_Rarely,857,Research & Development,10,Bachelor,Other,High,Female,Junior Level,Research Scientist,High,Single,3660,No,Very High,Low,10,4,Very High,8,7,1,7,2-3 companies,0.008393782,Weak
44,Yes,Travel_Rarely,1376,Human Resources,1,College,Medical,Medium,Male,Mid Level,Human Resources,Low,Married,10482,No,Very High,Medium,24,1,High,20,6,3,6,5+ companies,0.003278971,Weak
33,No,Travel_Rarely,654,Research & Development,5,Bachelor,Life Sciences,Very High,Male,Mid Level,Healthcare Representative,Very High,Divorced,7119,No,High,Medium,9,2,High,3,2,1,2,4-5 companies,0.006144925,Weak
35,Yes,Travel_Rarely,1204,Sales,4,Bachelor,Technical Degree,Very High,Male,Mid Level,Sales Executive,Low,Single,9582,Yes,Low,Low,9,2,High,8,7,4,7,,0.833478229,Strong
33,Yes,Travel_Frequently,827,Research & Development,29,Master,Medical,Low,Female,Junior Level,Research Scientist,High,Single,4508,No,Medium,Low,14,4,High,13,7,3,8,0-1 Companies,0.115316203,Weak
28,No,Travel_Rarely,895,Research & Development,15,College,Life Sciences,Low,Male,Entry Level,Laboratory Technician,High,Divorced,2207,No,Very High,Medium,4,5,Medium,4,2,2,2,0-1 Companies,0.290016397,Weak
34,No,Travel_Frequently,618,Research & Development,3,Below College,Life Sciences,Low,Male,Junior Level,Healthcare Representative,Very High,Single,7756,No,High,Low,7,1,Medium,6,2,0,4,,0.106351696,Weak
37,No,Travel_Rarely,309,Sales,10,Master,Life Sciences,Very High,Female,Junior Level,Sales Executive,Very High,Divorced,6694,Yes,High,Very High,8,5,High,1,0,0,0,2-3 companies,0.100466246,Weak
25,Yes,Travel_Rarely,1219,Research & Development,4,Below College,Technical Degree,Very High,Male,Entry Level,Laboratory Technician,Very High,Married,3691,Yes,Medium,Medium,7,3,Very High,7,7,5,6,0-1 Companies,0.258427471,Weak
26,Yes,Travel_Rarely,1330,Research & Development,21,Bachelor,Medical,Low,Male,Entry Level,Laboratory Technician,High,Divorced,2377,No,High,Medium,1,0,Medium,1,1,0,0,0-1 Companies,0.598861244,Strong
33,Yes,Travel_Rarely,1017,Research & Development,25,Bachelor,Medical,Low,Male,Entry Level,Research Scientist,Medium,Single,2313,Yes,Medium,Low,5,0,High,2,2,2,2,4-5 companies,0.866772581,Strong
42,No,Travel_Rarely,469,Research & Development,2,College,Medical,Very High,Male,Senior Level,Manager,Low,Married,17665,No,Very High,Medium,23,3,High,22,6,13,7,,0.001062351,Weak
28,Yes,Travel_Frequently,1009,Research & Development,1,Bachelor,Medical,Low,Male,Entry Level,Laboratory Technician,Medium,Divorced,2596,No,Low,High,1,2,High,1,0,0,0,0-1 Companies,0.356250307,Medium
50,Yes,Travel_Frequently,959,Sales,1,Master,Other,Very High,Male,Junior Level,Sales Executive,High,Single,4728,Yes,Very High,Low,5,4,High,0,0,0,0,2-3 companies,0.154808094,Weak
33,No,Travel_Frequently,970,Sales,7,Bachelor,Life Sciences,Very High,Female,Junior Level,Sales Executive,Medium,Married,4302,No,High,Medium,4,3,High,3,2,0,2,,0.041867351,Weak
34,No,Non-Travel,697,Research & Development,3,Master,Life Sciences,High,Male,Entry Level,Research Scientist,Very High,Married,2979,No,Very High,Very High,6,2,High,0,0,0,0,2-3 companies,0.002318563,Weak
48,No,Non-Travel,1262,Research & Development,1,Master,Medical,Low,Male,Senior Level,Manager,Very High,Single,16885,No,High,Low,27,3,Medium,5,4,2,1,2-3 companies,0.004428389,Weak
45,No,Non-Travel,1050,Sales,9,Master,Life Sciences,Medium,Female,Junior Level,Sales Executive,High,Married,5593,No,Very High,Medium,15,2,High,15,10,4,12,0-1 Companies,0.002053893,Weak
52,No,Travel_Rarely,994,Research & Development,7,Master,Life Sciences,Medium,Male,Mid Level,Healthcare Representative,Medium,Single,10445,No,Very High,Low,18,4,High,8,6,4,0,5+ companies,0.01254499,Weak
38,No,Travel_Rarely,770,Sales,10,Master,Marketing,High,Male,Mid Level,Sales Executive,High,Divorced,8740,Yes,Medium,High,9,2,High,8,7,2,7,,0.160296407,Weak
29,No,Travel_Rarely,1107,Research & Development,28,Master,Life Sciences,High,Female,Entry Level,Research Scientist,Very High,Divorced,2514,No,Low,Medium,11,1,High,7,5,1,7,4-5 companies,0.019622118,Weak
28,No,Travel_Rarely,950,Research & Development,3,Bachelor,Medical,Very High,Female,Mid Level,Manufacturing Director,Medium,Divorced,7655,No,Medium,Very High,10,3,Medium,9,7,1,7,,0.02275003,Weak
46,No,Travel_Rarely,406,Sales,3,Below College,Marketing,Low,Male,Senior Level,Manager,High,Married,17465,No,Very High,Medium,23,3,High,12,9,4,9,2-3 companies,0.001885195,Weak
38,No,Travel_Rarely,130,Sales,2,College,Marketing,Very High,Male,Mid Level,Sales Executive,Medium,Single,7351,No,High,Low,10,2,High,1,0,0,0,5+ companies,0.297776514,Weak
43,No,Travel_Frequently,1082,Research & Development,27,Bachelor,Life Sciences,High,Female,Mid Level,Manufacturing Director,Low,Married,10820,No,High,Medium,18,1,High,8,7,0,1,5+ companies,0.022364093,Weak
39,Yes,Travel_Frequently,203,Research & Development,2,Bachelor,Life Sciences,Low,Male,Senior Level,Healthcare Representative,Very High,Divorced,12169,No,Very High,Very High,21,4,High,18,7,11,5,5+ companies,0.050401888,Weak
40,No,Travel_Rarely,1308,Research & Development,14,Bachelor,Medical,High,Male,Executive Level,Research Director,High,Single,19626,No,Low,Low,21,2,Very High,20,7,4,9,0-1 Companies,4.45E-05,Weak
21,No,Travel_Rarely,984,Research & Development,1,Below College,Technical Degree,Very High,Female,Entry Level,Research Scientist,Medium,Single,2070,Yes,High,Low,2,6,Very High,2,2,2,2,0-1 Companies,0.460454015,Strong
39,No,Non-Travel,439,Research & Development,9,Bachelor,Life Sciences,High,Male,Junior Level,Laboratory Technician,Medium,Single,6782,No,High,Low,9,2,Medium,5,4,0,3,5+ companies,0.036379178,Weak
36,No,Non-Travel,217,Research & Development,18,Master,Life Sciences,Low,Male,Junior Level,Manufacturing Director,Very High,Single,7779,No,Low,Low,18,0,High,11,9,0,9,2-3 companies,0.01682657,Weak
31,No,Travel_Frequently,793,Sales,20,Bachelor,Life Sciences,High,Male,Entry Level,Sales Representative,Very High,Married,2791,No,Low,Medium,3,4,High,2,2,2,2,,0.239053266,Weak
28,No,Travel_Rarely,1451,Research & Development,2,Below College,Life Sciences,Low,Male,Entry Level,Research Scientist,Medium,Married,3201,No,Low,Low,6,2,Low,5,3,0,4,,0.445394584,Strong
35,No,Travel_Frequently,1182,Sales,11,College,Marketing,Very High,Male,Junior Level,Sales Executive,Very High,Divorced,4968,No,Very High,Medium,5,3,High,5,2,0,2,0-1 Companies,0.009279105,Weak
49,No,Travel_Rarely,174,Sales,8,Master,Technical Degree,Very High,Male,Senior Level,Sales Executive,Medium,Married,13120,No,Medium,Medium,22,3,High,9,8,2,3,5+ companies,0.076148658,Weak
34,No,Travel_Frequently,1003,Research & Development,2,College,Life Sciences,Very High,Male,Junior Level,Manufacturing Director,High,Single,4033,No,Very High,Low,5,3,Medium,3,2,0,2,2-3 companies,0.019860268,Weak
29,No,Travel_Frequently,490,Research & Development,10,Bachelor,Life Sciences,Very High,Female,Entry Level,Research Scientist,Medium,Divorced,3291,No,Very High,High,8,2,Medium,7,5,1,1,,0.013490805,Weak
42,No,Travel_Rarely,188,Research & Development,29,Bachelor,Medical,Medium,Male,Junior Level,Laboratory Technician,Very High,Single,4272,No,Low,Low,16,3,High,1,0,0,0,4-5 companies,0.244120835,Weak
29,No,Travel_Rarely,718,Research & Development,8,Below College,Medical,Medium,Male,Junior Level,Manufacturing Director,Very High,Married,5056,Yes,High,Medium,10,2,Medium,10,7,1,2,0-1 Companies,0.013528056,Weak
38,No,Travel_Rarely,433,Human Resources,1,Bachelor,Human Resources,High,Male,Entry Level,Human Resources,High,Married,2844,No,Very High,Medium,7,2,Very High,7,6,5,0,0-1 Companies,0.046819411,Weak
28,No,Travel_Frequently,773,Research & Development,6,Bachelor,Life Sciences,High,Male,Entry Level,Research Scientist,High,Divorced,2703,Yes,Very High,Medium,3,2,High,3,1,0,2,0-1 Companies,0.093039516,Weak
18,Yes,Non-Travel,247,Research & Development,8,Below College,Medical,High,Male,Entry Level,Laboratory Technician,High,Single,1904,No,Very High,Low,0,0,High,0,0,0,0,0-1 Companies,0.215040034,Weak
33,Yes,Travel_Rarely,603,Sales,9,Master,Marketing,Low,Female,Junior Level,Sales Executive,Low,Single,8224,Yes,Low,Low,6,3,High,5,2,0,3,,0.917045769,Strong
41,No,Travel_Rarely,167,Research & Development,12,Master,Life Sciences,Medium,Male,Entry Level,Laboratory Technician,Very High,Married,4766,Yes,Low,Medium,6,4,High,1,0,0,0,2-3 companies,0.345338407,Medium
31,Yes,Travel_Frequently,874,Research & Development,15,Bachelor,Medical,High,Male,Entry Level,Laboratory Technician,High,Married,2610,No,High,Medium,2,5,Medium,2,2,2,2,0-1 Companies,0.13488497,Weak
37,No,Travel_Rarely,367,Research & Development,25,College,Medical,High,Female,Junior Level,Healthcare Representative,Very High,Divorced,5731,No,High,High,9,2,High,6,2,1,3,5+ companies,0.002224341,Weak
27,No,Travel_Rarely,199,Research & Development,6,Bachelor,Life Sciences,Very High,Male,Entry Level,Research Scientist,High,Married,2539,No,High,Medium,4,0,High,4,2,2,2,0-1 Companies,0.014205146,Weak
34,No,Travel_Rarely,1400,Sales,9,Below College,Life Sciences,Medium,Female,Junior Level,Sales Executive,High,Married,5714,No,Low,Low,6,3,Medium,6,5,1,3,0-1 Companies,0.266390666,Weak
35,No,Travel_Rarely,528,Human Resources,8,Master,Technical Degree,High,Male,Entry Level,Human Resources,High,Single,4323,No,Medium,Low,6,2,Low,5,4,1,4,0-1 Companies,0.242530344,Weak
29,Yes,Travel_Rarely,408,Sales,23,Below College,Life Sciences,Very High,Female,Mid Level,Sales Executive,Low,Married,7336,No,Low,Medium,11,3,Low,11,8,3,10,0-1 Companies,0.681270032,Strong
40,No,Travel_Frequently,593,Research & Development,9,Master,Medical,Medium,Female,Mid Level,Research Director,High,Single,13499,No,High,Low,20,3,Medium,18,7,2,13,5+ companies,0.000486791,Weak
42,Yes,Travel_Frequently,481,Sales,12,Bachelor,Life Sciences,High,Male,Senior Level,Sales Executive,Low,Single,13758,Yes,Medium,Low,22,2,Medium,21,9,13,14,,0.939562885,Strong
42,No,Travel_Rarely,647,Sales,4,Master,Marketing,Medium,Male,Junior Level,Sales Executive,Low,Single,5155,No,Very High,Low,9,3,Very High,6,4,1,5,5+ companies,0.207608005,Weak
35,No,Travel_Rarely,982,Research & Development,1,Master,Medical,Very High,Male,Entry Level,Laboratory Technician,High,Married,2258,No,Medium,Medium,10,2,High,8,0,1,7,5+ companies,0.031087321,Weak
24,No,Travel_Rarely,477,Research & Development,24,Bachelor,Medical,Very High,Male,Entry Level,Laboratory Technician,Medium,Single,3597,No,Very High,Low,6,2,High,4,3,1,2,5+ companies,0.325213182,Medium
28,Yes,Travel_Rarely,1485,Research & Development,12,Below College,Life Sciences,High,Female,Entry Level,Laboratory Technician,Very High,Married,2515,Yes,Very High,Low,1,4,Medium,1,1,0,0,0-1 Companies,0.479049532,Strong
26,No,Travel_Rarely,1384,Research & Development,3,Master,Medical,Low,Male,Entry Level,Laboratory Technician,Very High,Married,4420,No,Medium,Medium,8,2,High,8,7,0,7,0-1 Companies,0.024329514,Weak
30,No,Travel_Rarely,852,Sales,10,Bachelor,Marketing,High,Male,Junior Level,Sales Executive,High,Married,6578,No,Low,Medium,10,3,High,10,3,1,4,0-1 Companies,0.044887415,Weak
40,No,Travel_Frequently,902,Research & Development,26,College,Medical,High,Female,Junior Level,Research Scientist,Very High,Married,4422,Yes,Very High,Medium,16,3,Low,1,1,0,0,2-3 companies,0.064845212,Weak
35,No,Travel_Rarely,819,Research & Development,2,Bachelor,Life Sciences,High,Male,Mid Level,Manufacturing Director,Medium,Divorced,10274,No,Medium,Medium,15,2,Very High,7,7,6,4,2-3 companies,0.01045112,Weak
34,No,Travel_Frequently,669,Research & Development,1,Bachelor,Medical,Very High,Male,Junior Level,Healthcare Representative,Low,Single,5343,No,High,Low,14,3,High,13,9,4,9,,0.009554175,Weak
35,No,Travel_Frequently,636,Research & Development,4,Master,Other,Very High,Male,Entry Level,Laboratory Technician,Very High,Married,2376,No,Medium,Medium,2,2,Very High,2,2,2,2,0-1 Companies,0.074199565,Weak
43,Yes,Travel_Rarely,1372,Sales,9,Bachelor,Marketing,Low,Female,Junior Level,Sales Executive,High,Single,5346,No,Medium,Low,7,2,Medium,4,3,1,3,5+ companies,0.399547333,Medium
32,No,Non-Travel,862,Sales,2,Below College,Life Sciences,High,Female,Entry Level,Sales Representative,Low,Divorced,2827,No,High,Very High,1,3,High,1,0,0,0,0-1 Companies,0.10253732,Weak
56,No,Travel_Rarely,718,Research & Development,4,Master,Technical Degree,Very High,Female,Executive Level,Manager,Low,Divorced,19943,No,Very High,Medium,28,2,High,5,2,4,2,4-5 companies,8.21E-05,Weak
29,No,Travel_Rarely,1401,Research & Development,6,Below College,Medical,Medium,Female,Entry Level,Laboratory Technician,Very High,Married,3131,No,Low,Medium,10,5,High,10,8,0,8,0-1 Companies,0.010384445,Weak
19,No,Travel_Rarely,645,Research & Development,9,College,Life Sciences,High,Male,Entry Level,Research Scientist,Low,Single,2552,No,High,Low,1,4,High,1,1,0,0,0-1 Companies,0.081695603,Weak
45,No,Travel_Rarely,1457,Research & Development,7,Bachelor,Medical,Low,Female,Entry Level,Research Scientist,High,Married,4477,Yes,High,Medium,7,2,Medium,3,2,0,2,4-5 companies,0.125097034,Weak
37,No,Travel_Rarely,977,Research & Development,1,Bachelor,Life Sciences,Very High,Female,Junior Level,Manufacturing Director,Very High,Married,6474,No,Medium,Medium,14,2,Medium,14,8,3,11,0-1 Companies,0.000475281,Weak
20,No,Travel_Rarely,805,Research & Development,3,Bachelor,Life Sciences,Low,Male,Entry Level,Laboratory Technician,High,Single,3033,No,Low,Low,2,2,Medium,2,2,1,2,0-1 Companies,0.875361305,Strong
44,Yes,Travel_Rarely,1097,Research & Development,10,Master,Life Sciences,High,Male,Entry Level,Research Scientist,High,Single,2936,Yes,High,Low,6,4,High,6,4,0,2,0-1 Companies,0.061644105,Weak
53,No,Travel_Rarely,1223,Research & Development,7,College,Medical,Very High,Female,Executive Level,Manager,High,Divorced,18606,No,Medium,Medium,26,6,High,7,7,4,7,2-3 companies,1.13E-05,Weak
29,No,Travel_Rarely,942,Research & Development,15,Below College,Life Sciences,Medium,Female,Entry Level,Research Scientist,Very High,Married,2168,Yes,Low,Medium,6,2,Medium,5,4,1,3,,0.253813149,Weak
22,Yes,Travel_Frequently,1256,Research & Development,3,Master,Life Sciences,High,Male,Entry Level,Research Scientist,Very High,Married,2853,Yes,Medium,Medium,1,5,High,0,0,0,0,,0.043902444,Weak
46,No,Travel_Rarely,1402,Sales,2,Bachelor,Marketing,High,Female,Senior Level,Manager,Low,Married,17048,No,Low,Low,28,2,High,26,15,15,9,5+ companies,0.002654492,Weak
44,No,Non-Travel,111,Research & Development,17,Bachelor,Life Sciences,Very High,Male,Entry Level,Research Scientist,High,Single,2290,No,Very High,Low,6,3,High,0,0,0,0,2-3 companies,0.016009619,Weak
33,No,Travel_Rarely,147,Human Resources,2,Bachelor,Human Resources,Medium,Male,Entry Level,Human Resources,High,Married,3600,No,Very High,Medium,5,2,High,5,4,1,4,0-1 Companies,0.042131182,Weak
41,Yes,Non-Travel,906,Research & Development,5,College,Life Sciences,Low,Male,Entry Level,Research Scientist,Low,Divorced,2107,No,Low,Medium,5,2,Low,1,0,0,0,5+ companies,0.156179713,Weak
30,No,Travel_Rarely,1329,Sales,29,Master,Life Sciences,High,Male,Junior Level,Sales Executive,Low,Divorced,4115,No,High,Very High,8,3,High,4,3,0,3,5+ companies,0.218682915,Weak
40,No,Travel_Frequently,1184,Sales,2,Master,Medical,Medium,Male,Junior Level,Sales Executive,Medium,Married,4327,No,Very High,Very High,5,2,High,0,0,0,0,4-5 companies,0.092851651,Weak
50,No,Travel_Frequently,1421,Research & Development,2,Bachelor,Medical,Very High,Female,Senior Level,Manager,Low,Married,17856,No,High,Medium,32,3,High,2,2,2,2,2-3 companies,0.001883696,Weak
28,No,Travel_Rarely,1179,Research & Development,19,Master,Medical,Very High,Male,Entry Level,Laboratory Technician,Low,Married,3196,No,High,Very High,6,2,High,6,5,3,3,0-1 Companies,0.155784424,Weak
46,No,Travel_Rarely,1450,Research & Development,15,College,Life Sciences,Very High,Male,Executive Level,Research Director,Medium,Married,19081,No,Low,Medium,25,2,High,4,2,0,3,4-5 companies,7.62E-06,Weak
35,No,Travel_Rarely,1361,Sales,17,Master,Life Sciences,High,Male,Junior Level,Sales Executive,Low,Married,8966,Yes,Very High,Very High,15,2,High,7,7,1,7,2-3 companies,0.187189514,Weak
24,Yes,Travel_Rarely,984,Research & Development,17,College,Life Sciences,Very High,Female,Entry Level,Laboratory Technician,Medium,Married,2210,No,Low,Medium,1,3,Low,1,0,0,0,0-1 Companies,0.615102408,Strong
33,No,Travel_Frequently,1146,Sales,25,Bachelor,Medical,Medium,Female,Junior Level,Sales Executive,High,Married,4539,No,Low,Medium,10,3,Medium,10,7,0,1,0-1 Companies,0.311101187,Medium
36,No,Travel_Rarely,917,Research & Development,6,Master,Life Sciences,High,Male,Entry Level,Laboratory Technician,High,Divorced,2741,No,High,Medium,7,4,High,7,7,1,7,0-1 Companies,0.008774113,Weak
30,No,Travel_Rarely,853,Research & Development,7,Master,Life Sciences,High,Male,Junior Level,Laboratory Technician,High,Divorced,3491,No,Low,Very High,10,4,Medium,10,7,8,9,0-1 Companies,0.08155342,Weak
44,No,Travel_Rarely,200,Research & Development,29,Master,Other,Very High,Male,Junior Level,Research Scientist,Very High,Single,4541,No,Medium,Low,20,3,High,20,11,13,17,0-1 Companies,0.002010779,Weak
20,No,Travel_Rarely,654,Sales,21,Bachelor,Marketing,High,Male,Entry Level,Sales Representative,Very High,Single,2678,No,Very High,Low,2,2,High,2,1,2,2,0-1 Companies,0.366607723,Medium
46,No,Travel_Rarely,150,Research & Development,2,Master,Technical Degree,Very High,Male,Junior Level,Manufacturing Director,Very High,Divorced,7379,No,High,Medium,12,3,Medium,6,3,1,4,2-3 companies,0.000831696,Weak
42,No,Non-Travel,179,Human Resources,2,Doctor,Medical,Very High,Male,Junior Level,Human Resources,Low,Married,6272,No,Low,Medium,10,3,Very High,4,3,0,3,5+ companies,0.007539928,Weak
60,No,Travel_Rarely,696,Sales,7,Master,Marketing,Medium,Male,Junior Level,Sales Executive,Very High,Divorced,5220,Yes,Medium,Medium,12,3,High,11,7,1,9,,0.016644702,Weak
32,No,Travel_Frequently,116,Research & Development,13,Bachelor,Other,High,Female,Entry Level,Laboratory Technician,Medium,Married,2743,No,High,Medium,2,2,High,2,2,2,2,0-1 Companies,0.121166595,Weak
32,No,Travel_Frequently,1316,Research & Development,2,College,Life Sciences,Very High,Female,Junior Level,Research Scientist,High,Single,4998,Yes,Very High,Low,10,2,High,8,7,0,7,4-5 companies,0.026014126,Weak
36,No,Travel_Rarely,363,Research & Development,1,Bachelor,Technical Degree,High,Female,Mid Level,Manufacturing Director,Low,Divorced,10252,Yes,High,Medium,17,2,High,7,7,7,7,2-3 companies,0.04276755,Weak
33,No,Travel_Rarely,117,Research & Development,9,Bachelor,Medical,Low,Male,Entry Level,Research Scientist,Very High,Married,2781,No,Medium,Medium,15,5,High,14,10,4,10,,0.003580866,Weak
40,No,Travel_Rarely,107,Sales,10,Bachelor,Technical Degree,Medium,Female,Junior Level,Sales Executive,Medium,Divorced,6852,No,Medium,Medium,7,2,Very High,5,1,1,3,5+ companies,0.29542421,Weak
25,No,Travel_Rarely,1356,Sales,10,Master,Life Sciences,High,Male,Junior Level,Sales Executive,Very High,Single,4950,No,Medium,Low,5,4,High,4,3,1,1,,0.039782517,Weak
30,No,Travel_Rarely,1465,Research & Development,1,Bachelor,Medical,Very High,Male,Entry Level,Research Scientist,Medium,Married,3579,Yes,Low,Medium,12,2,High,11,9,5,7,,0.021283087,Weak
42,No,Travel_Frequently,458,Research & Development,26,Doctor,Medical,Low,Female,Mid Level,Research Director,Low,Married,13191,Yes,High,Low,20,6,High,1,0,0,0,2-3 companies,0.036018422,Weak
35,No,Non-Travel,1212,Sales,8,College,Marketing,High,Female,Mid Level,Sales Executive,Very High,Married,10377,Yes,Medium,Medium,16,6,Medium,13,2,4,12,4-5 companies,0.085071187,Weak
